"Year","Life expectancy at birth","Median age at death","Modal age at death"
"1841","40.15","44.76","75.56"
"1842","40.07","44.89","75.53"
"1843","40.59","45.74","75.46"
"1844","40.2","45.11","75.45"
"1845","41.12","46.69","75.56"
"1846","39.08","42.65","75.64"
"1847","37.46","40.01","75.47"
"1848","38.81","42.14","75.62"
"1849","36.82","38.12","75.46"
"1850","41.83","48.31","75.73"
"1851","39.97","44.48","75.67"
"1852","39.35","43.18","75.73"
"1853","38.86","42.55","75.64"
"1854","38.52","41.44","75.65"
"1855","39.62","44.33","75.61"
"1856","41.36","46.65","72.78"
"1857","39.99","44.57","73.57"
"1858","38.59","41.92","72.28"
"1859","39.44","43.56","72.46"
"1860","40.76","46.23","72.09"
"1861","40.45","45.62","73.43"
"1862","40.94","46.32","73.5"
"1863","39.19","42.9","73.01"
"1864","38.37","41.54","69.69"
"1865","38.4","41.57","72.25"
"1866","38.77","42.23","71.73"
"1867","40.54","45.65","71.85"
"1868","40.37","45.22","72.71"
"1869","39.94","44.74","71.83"
"1870","39.16","43.34","71.58"
"1871","39.62","43.5","72.24"
"1872","41.17","46.22","72.72"
"1873","41.66","47.92","71.47"
"1874","40.62","46.23","69.73"
"1875","39.91","45.28","69.44"
"1876","40.96","46.25","71.89"
"1877","41.93","47.83","71.71"
"1878","40.45","46.01","71.47"
"1879","41.88","48.5","70.47"
"1880","41.37","47.94","71.72"
"1881","43.46","50.48","69.57"
"1882","42.47","49.39","69.74"
"1883","42.37","49.24","69.31"
"1884","42.07","48.94","69.51"
"1885","43.01","50.39","69.18"
"1886","43.02","50.7","69.02"
"1887","43.56","51.55","69.08"
"1888","44.59","52.68","69.12"
"1889","44.29","52.56","69.38"
"1890","42.29","49.39","68.6"
"1891","42.63","50.25","70.05"
"1892","43.9","52.23","70.45"
"1893","43.02","50.81","70.77"
"1894","46.57","55.41","72.04"
"1895","43.71","52.62","70.77"
"1896","45.4","54.23","71.59"
"1897","44.58","53.41","71.1"
"1898","44.36","53.31","71"
"1899","43.46","51.92","70.61"
"1900","43.72","52.13","70.46"
"1901","45.03","53.86","69.91"
"1902","46.44","55.26","71.12"
"1903","47.66","56.91","71.78"
"1904","46.33","55.91","71.35"
"1905","48.1","57.55","71.79"
"1906","47.7","57.02","71.73"
"1907","48.67","57.79","71.6"
"1908","49.04","58.39","71.73"
"1909","49.85","59.02","71.43"
"1910","51.34","60.55","72.11"
"1911","49.39","59.67","73.87"
"1912","52.56","61.85","72.46"
"1913","51.43","61.16","72.57"
"1914","51.29","60.83","72.25"
"1915","48.39","57.71","72.11"
"1916","51.95","61.34","72.81"
"1917","51.42","60.81","72.88"
"1918","44.64","50.02","72.62"
"1919","52.5","62.31","75.36"
"1920","55.82","65.39","75.63"
"1921","56.15","65.49","75.33"
"1922","55.56","64.78","75.23"
"1923","57.11","66.09","75.78"
"1924","56.2","65.46","75.21"
"1925","56.38","65.69","75.74"
"1926","57.61","66.54","75.89"
"1927","56.9","65.79","75.58"
"1928","58.07","66.69","75.61"
"1929","55.61","64.75","75.47"
"1930","58.7","67.11","75.49"
"1931","57.79","66.62","75.36"
"1932","58.47","67.22","75.42"
"1933","58.31","66.91","75.64"
"1934","59.29","67.58","75.46"
"1935","60.02","67.98","75.61"
"1936","59.7","67.7","75.6"
"1937","59.74","67.46","75.56"
"1938","60.97","68.54","75.8"
"1939","61.37","68.49","75.83"
"1940","57.79","65.46","75.58"
"1941","59.02","67.03","76.04"
"1942","61.92","69.15","79.12"
"1943","61.81","68.99","79.14"
"1944","62.41","69.24","79.26"
"1945","62.73","69.57","79.29"
"1946","64.14","70.24","76.77"
"1947","63.94","70.02","75.99"
"1948","65.86","71.09","76.21"
"1949","65.56","70.6","75.7"
"1950","66.09","70.8","75.85"
"1951","65.68","70.07","75.58"
"1952","66.89","71.15","76.03"
"1953","67.12","71.2","75.87"
"1954","67.4","71.37","75.87"
"1955","67.33","71.3","75.95"
"1956","67.57","71.37","76.26"
"1957","67.64","71.28","74.55"
"1958","67.76","71.42","74.45"
"1959","67.89","71.51","74.47"
"1960","68.06","71.68","76.28"
"1961","68.02","71.5","76.23"
"1962","68.03","71.47","74.58"
"1963","67.92","71.35","73.87"
"1964","68.65","71.98","74.54"
"1965","68.58","71.85","74.4"
"1966","68.46","71.74","75.07"
"1967","69.09","72.24","73.97"
"1968","68.73","71.92","74.91"
"1969","68.63","71.65","74.34"
"1970","68.89","71.98","74.4"
"1971","69.24","72.37","75.46"
"1972","69.02","72.11","73.6"
"1973","69.23","72.43","74.68"
"1974","69.45","72.59","74"
"1975","69.7","72.81","74.62"
"1976","69.73","72.76","76.02"
"1977","70.23","73.16","76.39"
"1978","70.17","73.13","75.95"
"1979","70.33","73.27","76.8"
"1980","70.78","73.61","77.45"
"1981","71.1","73.88","76.41"
"1982","71.27","74.03","77.9"
"1983","71.51","74.16","78.25"
"1984","71.94","74.55","77.74"
"1985","71.85","74.49","76.69"
"1986","72.07","74.72","76.88"
"1987","72.47","75.07","77.04"
"1988","72.61","75.23","79.67"
"1989","72.85","75.53","77.78"
"1990","73.07","75.74","79.61"
"1991","73.29","75.96","79.62"
"1992","73.74","76.29","80.47"
"1993","73.71","76.28","79.29"
"1994","74.28","76.86","80.28"
"1995","74.22","76.88","79.35"
"1996","74.46","77.09","80.53"
"1997","74.75","77.42","80.61"
"1998","74.96","77.69","81.76"
"1999","75.2","77.94","82.72"
"2000","75.6","78.39","83.55"
"2001","75.92","78.77","84.3"
"2002","76.09","78.99","81.82"
"2003","76.3","79.28","83.03"
"2004","76.85","79.78","84.1"
"2005","77.12","80.14","84.4"
"2006","77.44","80.51","85.5"
"2007","77.69","80.82","84.42"
"2008","77.86","81.02","84.75"
"2009","78.31","81.47","84.96"
"2010","78.65","81.75","85.57"
"2011","79.05","82.19","85.46"
"2012","79.21","82.33","86.5"
"2013","79.22","82.37","86.09"
"2014","79.47","82.62","87.43"
"2015","79.29","82.5","86.12"
"2016","79.45","82.65","86.11"
"2017","79.53","82.73","87.13"
"2018","79.48","82.76","86.79"
"2019","79.82","83.07","88.34"
"2020","78.6","81.78","87.07"
